Date,Open
2018-11-06,107.38
2018-11-07,109.44
2018-11-08,111.8
2018-11-09,110.85
2018-11-12,109.42
2018-11-13,107.55
2018-11-14,108.1
2018-11-15,104.99
2018-11-16,107.08
2018-11-19,108.27
2018-11-20,101.8
2018-11-21,103.6
2018-11-23,102.17
2018-11-26,104.79
2018-11-27,106.27
2018-11-28,107.89
2018-11-29,110.33
2018-11-30,110.7
2018-12-03,113.0
2018-12-04,111.94
2018-12-06,105.82
2018-12-07,108.38
2018-12-10,104.8
2018-12-11,109.8
2018-12-12,110.89
2018-12-13,109.58
2018-12-14,108.25
2018-12-17,105.41
2018-12-18,103.75
2018-12-19,103.65
2018-12-20,103.05
2018-12-21,101.63
2018-12-24,97.68
2018-12-26,95.14
2018-12-27,99.3
2018-12-28,102.09
2018-12-31,101.29
2019-01-02,99.55
2019-01-03,100.1
2019-01-04,99.72
2019-01-07,101.64
2019-01-08,103.04
2019-01-09,103.86
2019-01-10,103.22
2019-01-11,103.19
2019-01-14,101.9
2019-01-15,102.51
2019-01-16,105.26
2019-01-17,105.0
2019-01-18,107.46
2019-01-22,106.75
2019-01-23,106.12
2019-01-24,106.86
2019-01-25,107.24
2019-01-28,106.26
2019-01-29,104.88
2019-01-30,104.62
2019-01-31,103.8
2019-02-01,103.775
2019-02-04,102.87
2019-02-05,41.659324645996094
2019-02-06,41.534934997558594
2019-02-07,41.305030822753906
2019-02-08,41.00736999511719
2019-02-09,40.65631484985352
2019-02-10,40.26895523071289
2019-02-11,39.85602569580078
2019-02-12,39.425376892089844
2019-02-13,38.98202133178711
2019-02-14,38.53028869628906
2019-02-15,38.07529067993164
2019-02-16,37.62301254272461
2019-02-17,37.17918014526367
2019-02-18,36.74799728393555
2019-02-19,36.33163833618164
2019-02-20,35.930450439453125
